#,Folio,Programa,Tipo,Área,Carrera,Coordinador que inscribe,Curso de Inducción,Empresa,Domicilio
,,,,,,,,,
6,146210,PROGRAMA PARA LA GESTIÓN Y APLICACIÓN DE MODELOS TECNOLÓGICOS Y SOFTWARE ESPECIALIZADOS,Serv Social,FACULTAD DE ADMINISTRACIÓN,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE ADMINISTRACION,"AVENIDA SAN CLAUDIO S/N EDIFICIO ADM1/133 COL: CIUDAD UNIVERSITARIA, JARDINES DE SAN MAUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7747
(222) 2295500 EXT 7750
uziel.vega@correo.buap.mx"
,,,,,"Ing.en Cs de la Computación (Instituto de Estudios Superiores en Arquitectura y Diseño, A.C.)",Monserrat Marlene Vázquez Morales,--,FACULTAD DE ADMINISTRACION,"AVENIDA SAN CLAUDIO S/N EDIFICIO ADM1/133 COL: CIUDAD UNIVERSITARIA, JARDINES DE SAN MAUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7747
(222) 2295500 EXT 7750
uziel.vega@correo.buap.mx"
,,,,,,,,,
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE ADMINISTRACION,"AVENIDA SAN CLAUDIO S/N EDIFICIO ADM1/133 COL: CIUDAD UNIVERSITARIA, JARDINES DE SAN MAUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7747
(222) 2295500 EXT 7750
uziel.vega@correo.buap.mx"
,,,,,,,,,
7,146220,DISPOSITIVOS ELECTRÓNICOS CON LT-SPICE,Serv Social,FACULTAD DE CIENCIAS DE LA ELECTRÓNICA,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA ELECTRONICA,"CIUDAD UNIVERSITARIA. 18 SUR Y AVENIDA SAN CLAUDIO. EDIF. 109B COL: SAN MANUEL CP: 72000
Puebla , Puebla
(52222) 2295500 EXT 7400
(522222) 295500 EXT 7401
magdalena.perezt@correo.buap.mx"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA ELECTRONICA,"CIUDAD UNIVERSITARIA. 18 SUR Y AVENIDA SAN CLAUDIO. EDIF. 109B COL: SAN MANUEL CP: 72000
Puebla , Puebla
(52222) 2295500 EXT 7400
(522222) 295500 EXT 7401
magdalena.perezt@correo.buap.mx"
,,,,,,,,,
8,146227,CAMPAÑA DE APOYO SOCIAL,Serv Social,RELACIONES PUBLICAS Y SOCIAL,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,CONSTRUCTORA E INMOBILIARIA E URBANIZADORA CARRE S.A. DE C.V.,"16 DE SEPTIEMBRENO. 42 Col: SAN ANTONIO CACALOTEPEC CP: 72828
Puebla,Puebla
(222)1407841 Ext: 0
(222)2641995 Ext: 0
TALENTSINPROGRESS@GMAIL.COM"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,CONSTRUCTORA E INMOBILIARIA E URBANIZADORA CARRE S.A. DE C.V.,"16 DE SEPTIEMBRENO. 42 Col: SAN ANTONIO CACALOTEPEC CP: 72828
Puebla,Puebla
(222)1407841 Ext: 0
(222)2641995 Ext: 0
TALENTSINPROGRESS@GMAIL.COM"
,,,,,,,,,
9,146266,DESARROLLO DE SISTEMAS PARA EL ANÁLISIS DE DATOS,Serv Social,FACULTAD DE CIENCIAS DE LA COMPUTACIÓN,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"Rio Salado 5325-2 COL: Jardines de San Manuel CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7223+183
(222) 2295672 EXT
asanchez@cs.buap.mx"
10,146267,DESARROLLO DE SOFTWARE PARA LA ANIMACIÓN POR COMPUTADORA,Serv Social,FACULTAD DE CS.DE LA COMPUTACION,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"Rio Salado 5325-2 COL: Jardines de San Manuel CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7223+183
(222) 2295672 EXT
asanchez@cs.buap.mx"
11,146283,MANTENIMIENTO Y ACTUALIZACIÓN DE EQUIPO DE COMPUTO EN EL MÓDULO 1,Serv Social,LABORATORIO DE SOFTWARE: MÓDULO 1,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"14 SUR S/N COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7215
(222) 2295500 EXT 7208
rgtamayo@cs.buap.mx"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"14 SUR S/N COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7215
(222) 2295500 EXT 7208
rgtamayo@cs.buap.mx"
,,,,,,,,,
12,146306,ESTUDIO Y ANÁLISIS DEL DOLOR EN ESTRUCTURAS CRÁNEO FACIALES PARA SU COMPRENSIÓN Y APLICACIÓN EN ESTOMATOLOGÍA.,Serv Social,LABORATORIO DE FISIOLOGÍA DE LA FACULTAD DE ESTOMATOLOGÍA BUAP.,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE ESTOMATOLOGIA,"31 PONIENTE 1304 COL: VOLCANES CP: 72410
Puebla , Puebla
(222) 2295500 EXT 6410
(246) 4616446 EXT
juarez74@yahoo.com"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE ESTOMATOLOGIA,"31 PONIENTE 1304 COL: VOLCANES CP: 72410
Puebla , Puebla
(222) 2295500 EXT 6410
(246) 4616446 EXT
juarez74@yahoo.com"
,,,,,,,,,
13,146324,FILOSOFÍA VERDE,Serv Social,FACULTAD DE FILOSOFÍA Y LETRAS,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE FILOSOFIA,"AV. JUAN DE PALAFOX Y MENDOZA, EDIFICIO ARRONTE, CENTRO HISTÓRICO, PUEBLA, PUE. 219 COL: CENTRO CP: 72000
Puebla , Puebla
(222) 2295500 EXT 5425
(222) 2295500 EXT 5425
leonor.escalante@correo.buap.mx"
14,146333,PROGRAMA PARA ALUMNOS EXENTOS DE SERVICIO SOCIAL,Serv Social,"SÓLO PARA TRABAJADORES DE LA FEDERACIÓN, MAYORES DE 60 AÑOS, ENTRE OTROS QUE ESTAN EN LA PÁG WEB.",Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,DIRECCION DE SERVICIO SOCIAL,"29 ORIENTE 803 COL: ANZURES CP: 72530
Puebla , Puebla
(222) 2295500 EXT 2504
(0) 0 EXT 0
rodrigo.palacios@correo.buap.mx"
,,,,,"Ing.en Cs de la Computación (Instituto de Estudios Superiores en Arquitectura y Diseño, A.C.)",Monserrat Marlene Vázquez Morales,--,DIRECCION DE SERVICIO SOCIAL,"29 ORIENTE 803 COL: ANZURES CP: 72530
Puebla , Puebla
(222) 2295500 EXT 2504
(0) 0 EXT 0
rodrigo.palacios@correo.buap.mx"
,,,,,,,,,
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,DIRECCION DE SERVICIO SOCIAL,"29 ORIENTE 803 COL: ANZURES CP: 72530
Puebla , Puebla
(222) 2295500 EXT 2504
(0) 0 EXT 0
rodrigo.palacios@correo.buap.mx"
,,,,,,,,,
15,146341,LOGISTICA ADMINISTRATIVA EN LAS MATERIAS BASICAS DE LA FACULTAD DE INGENIERIA,Serv Social,FACULTAD DE INGENIERIAS BUAP,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE INGENIERIA,"AV. SAN CLAUDIO Y RIO VERDE SIN NUM. COL: SAN MANUEL, PUEBLA, PUEBLA CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7613
(222) 2295500 EXT 7636
PATTY.MTZ.VARA@GMAIL.COM"
16,146349,MEJORAMIENTO MULTIDISCIPLINARIO EN EL AYUNTAMIENTO,Serv Social,H. AYUNTAMIENTO DE SAN PEDRO CHOLULA,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,H. AYUNTAMIENTO DE SAN PEDRO CHOLULA,"PORTAL GUERRERO3 Col: CENTRO CP: 72760
Puebla,San Pedro Cholula
(222)7772900 Ext:
(222)7772918 Ext:
CLAUDIA.GONZALEZ@CHOLULA.GOB.MX"
,,,,,"Ing.en Cs de la Computación (Instituto de Estudios Superiores en Arquitectura y Diseño, A.C.)",Monserrat Marlene Vázquez Morales,--,H. AYUNTAMIENTO DE SAN PEDRO CHOLULA,"PORTAL GUERRERO3 Col: CENTRO CP: 72760
Puebla,San Pedro Cholula
(222)7772900 Ext:
(222)7772918 Ext:
CLAUDIA.GONZALEZ@CHOLULA.GOB.MX"
,,,,,,,,,
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,H. AYUNTAMIENTO DE SAN PEDRO CHOLULA,"PORTAL GUERRERO3 Col: CENTRO CP: 72760
Puebla,San Pedro Cholula
(222)7772900 Ext:
(222)7772918 Ext:
CLAUDIA.GONZALEZ@CHOLULA.GOB.MX"
,,,,,,,,,
17,146417,CENTRO ASESOR DE INNOVACIÓN TECNOLÓGICA A PRESTADORES DE SERVICIOS.,Serv Social,SEDE CHIGNAHUAPAN,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,COMPLEJO REGIONAL NORTE,"ALDAMA 23 COL: CENTRO CP: 73300
Chignahuapan , Puebla
(797) 9711802 EXT
(797) 9710455 EXT
jclchepo@hotmail.com"
18,146422,ALGORITMO DE SEGURIDAD,Serv Social,FACULTAD DE CIENCIAS DE LA COMPUTACION,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"14 SUR Y AVENIDA SAN CLAUDIO S/N COL: COLONIAL SAN MANUEL CP: 72000
Puebla , Puebla
(222) 2295500 EXT
(222) 2295500 EXT
brinza@cs.buap.mx"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"14 SUR Y AVENIDA SAN CLAUDIO S/N COL: COLONIAL SAN MANUEL CP: 72000
Puebla , Puebla
(222) 2295500 EXT
(222) 2295500 EXT
brinza@cs.buap.mx"
,,,,,,,,,
19,146452,IMAGINARIO DE APPS.,Serv Social,COLEGIO DE DISEÑO GRÁFICO,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE ARQUITECTURA,"BOULEVARD VALSEQUILLO S/N COL: CIUDAD UNIVERSITARIA CP: 72598
Puebla , Puebla
(222) 2295500 EXT 7968
(222) 2295500 EXT 7968
glunagijon@yahoo.com"
20,146489,DIFUSIÓN DE SERVICIOS DE INFORMACIÓN Y PROMOCIÓN DE LOS PROCESOS PARA LA COMUNIDAD BUAP.,Serv Social,DIRECCIÓN DE SERVICIO SOCIAL,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,DIRECCION DE SERVICIO SOCIAL,"AVENIDA SAN CLAUDIO, ACCESO POR LA 24 SUR. S/N COL: SAN MANUEL CP: 72000
Puebla , Puebla
(222) 2295500 EXT 2503
(0) 0 EXT 0
metalhell@hotmail.com"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,DIRECCION DE SERVICIO SOCIAL,"AVENIDA SAN CLAUDIO, ACCESO POR LA 24 SUR. S/N COL: SAN MANUEL CP: 72000
Puebla , Puebla
(222) 2295500 EXT 2503
(0) 0 EXT 0
metalhell@hotmail.com"
,,,,,,,,,
21,146507,DISEÑO DE PÁGINAS WEB Y DESARROLLO TECNOLÓGICO PARA DIVULGACIÓN DE PROYECTOS DE INVESTIGACIÓN,Serv Social,VINCULACIÓN Y DIFUSIÓN,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CIENCIAS QUIMICAS,"PROL. 24 SUR ESQ. AV. SAN CLAUDIO, CIUDAD UNIVERSITARIA S/N COL: COL. SAN MANUEL CP: 72530
Puebla , Puebla
(222) 2295500 EXT 3973
(222) 2295500 EXT 3973
alcdack@gmail.com"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CIENCIAS QUIMICAS,"PROL. 24 SUR ESQ. AV. SAN CLAUDIO, CIUDAD UNIVERSITARIA S/N COL: COL. SAN MANUEL CP: 72530
Puebla , Puebla
(222) 2295500 EXT 3973
(222) 2295500 EXT 3973
alcdack@gmail.com"
,,,,,,,,,
22,146511,RECOLOCACIÓN DE FÁRMACOS IN SILICO,Serv Social,ESTUDIOS IN SILICO,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CIENCIAS QUIMICAS,"PROL. 24 SUR ESQ. AV. SAN CLAUDIO, CIUDAD UNIVERSITARIA S/N COL: COL. SAN MANUEL CP: 72530
Puebla , Puebla
(222) 2295500 EXT 3973
(222) 2295500 EXT 3973
alcdack@gmail.com"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CIENCIAS QUIMICAS,"PROL. 24 SUR ESQ. AV. SAN CLAUDIO, CIUDAD UNIVERSITARIA S/N COL: COL. SAN MANUEL CP: 72530
Puebla , Puebla
(222) 2295500 EXT 3973
(222) 2295500 EXT 3973
alcdack@gmail.com"
,,,,,,,,,
23,146514,DISEÑO IN SILICO DE AGONISTAS DEL RECEPTOR MUSCARINICO M3 ENDOTELIAR CARDIADO,Serv Social,DOCKING Y SINTESIS,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CIENCIAS QUIMICAS,"PROL. 24 SUR ESQ. AV. SAN CLAUDIO, CIUDAD UNIVERSITARIA S/N COL: COL. SAN MANUEL CP: 72530
Puebla , Puebla
(222) 2295500 EXT 3973
(222) 2295500 EXT 3973
alcdack@gmail.com"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CIENCIAS QUIMICAS,"PROL. 24 SUR ESQ. AV. SAN CLAUDIO, CIUDAD UNIVERSITARIA S/N COL: COL. SAN MANUEL CP: 72530
Puebla , Puebla
(222) 2295500 EXT 3973
(222) 2295500 EXT 3973
alcdack@gmail.com"
,,,,,,,,,
24,146572,COLABORACIÓN PARA CA-BUAP 249 EN LÍNEA DE INVESTIGACIÓN DESARROLLO TECNOLÓGICO Y VINCULACIÓN SOCIAL,Serv Social,FACULTAD DE ARQUITECTURA,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE ARQUITECTURA,"BOULEVARD VALSEQUILLO S/N COL: CIUDAD UNIVERSITARIA CP: 72570
Puebla , Puebla
(222) 295500 EXT 7965
(222) 2295500 EXT 7965
mara.serrano@correo.buap.mx"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE ARQUITECTURA,"BOULEVARD VALSEQUILLO S/N COL: CIUDAD UNIVERSITARIA CP: 72570
Puebla , Puebla
(222) 295500 EXT 7965
(222) 2295500 EXT 7965
mara.serrano@correo.buap.mx"
,,,,,,,,,
25,146638,MANTENIMIENTO Y SOPORTE TÉCNICO DEL ÁREA DE CÓMPUTO DE LA FACULTAD DE INGENIERÍA QUÍMICA,Serv Social,"CENTRO DE CÓMPUTO, FACULTAD DE INGENIERÍA QUÍMICA",Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE INGENIERIA QUIMICA,"AV SAN CLAUDIO FIQ1-105 Y FIQ5-210 COL: CIUDAD UNIVERSITARIA CP: 72592
Puebla , Puebla
(222) 2295500 EXT 2980,7263
(222) 2295500 EXT 0
vladimir.maldonado@correo.buap.mx"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE INGENIERIA QUIMICA,"AV SAN CLAUDIO FIQ1-105 Y FIQ5-210 COL: CIUDAD UNIVERSITARIA CP: 72592
Puebla , Puebla
(222) 2295500 EXT 2980,7263
(222) 2295500 EXT 0
vladimir.maldonado@correo.buap.mx"
,,,,,,,,,
26,146652,MINERÍA DE DATOS PARA LA CIENCIA,Serv Social,"UNIDAD DE POLÍMEROS Y ELECTRÓNICA ORGÁNICA, EDIF. VAL 3, ECOCAMPUS VALSEQUILLO",Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,INSTITUTO DE CIENCIAS,"complejo de ciencias modulo 194 COL: Sn. Manuel CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7285
(222) 2295551 EXT
JUDITH.PERCINO@CORREO.BUAP.MX"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,INSTITUTO DE CIENCIAS,"complejo de ciencias modulo 194 COL: Sn. Manuel CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7285
(222) 2295551 EXT
JUDITH.PERCINO@CORREO.BUAP.MX"
,,,,,,,,,
27,146750,JUSTICIA CIUDADANA / PROGRAMADOR,Serv Social,SUBDIRECCIÓN,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,ASOCIACIÓN DE CIUDADANOS POBLANOS UNIDOS POR LA JUSTICIA Y LA ATENCIÓN A VÍCTIMAS DEL DELITO A.C.,"13 SUR1910 Col: BARRIO DE SANTIAGO CP: 72410
Puebla,Puebla
(222)2962121 Ext:
() Ext:
YHERNANDEZ@JUSTICIACIUDADANAPUEBLA.ORG"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,ASOCIACIÓN DE CIUDADANOS POBLANOS UNIDOS POR LA JUSTICIA Y LA ATENCIÓN A VÍCTIMAS DEL DELITO A.C.,"13 SUR1910 Col: BARRIO DE SANTIAGO CP: 72410
Puebla,Puebla
(222)2962121 Ext:
() Ext:
YHERNANDEZ@JUSTICIACIUDADANAPUEBLA.ORG"
,,,,,,,,,
28,146767,ACTUALIZACIÓN Y MANTENIMIENTO DE LAS PÁGINAS WEB DE LA FCE,Serv Social,"AV. 18 SUR Y AV. SAN CLAUDIO, FACULTAD DE CIENCIAS DE LA ELECTRÓNICA, EDIFICIO FCE1 OFICINA 216, CIUDAD UNIVERSITARIA",Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA ELECTRONICA,"AV. SAN CLAUDIO Y 18 SUR EDIFICIO FCE5 - PLANTA ALTA - OFICINA 204H COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7414
(222) 2295500 EXT 7414
cesarau.arriaga@correo.buap.mx"
29,146810,APLICACIÓN DE LAS TECNOLOGÍAS EN LA CULTURA,Serv Social,MERCADOTECNIA,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,VELLVER OLLIN A.C.,"POLONIA1405-6 Col: LAS HADAS CP: 72070
Puebla,Puebla
(222)2223941093 Ext: 66
(222)2223941093 Ext: 66
OLLINORQUESTA@GMAIL.COM"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,VELLVER OLLIN A.C.,"POLONIA1405-6 Col: LAS HADAS CP: 72070
Puebla,Puebla
(222)2223941093 Ext: 66
(222)2223941093 Ext: 66
OLLINORQUESTA@GMAIL.COM"
,,,,,,,,,
30,146818,LA COMPUTACIÓN EN EL ARTE URBANO,Serv Social,MERCADOTECNIA,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,VELLVER OLLIN A.C.,"POLONIA1405-6 Col: LAS HADAS CP: 72070
Puebla,Puebla
(222)2223941093 Ext: 66
(222)2223941093 Ext: 66
OLLINORQUESTA@GMAIL.COM"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,VELLVER OLLIN A.C.,"POLONIA1405-6 Col: LAS HADAS CP: 72070
Puebla,Puebla
(222)2223941093 Ext: 66
(222)2223941093 Ext: 66
OLLINORQUESTA@GMAIL.COM"
,,,,,,,,,
31,146822,DIGITALIZACIÓN DEL LABORATORIO DE OPERACIONES UNITARIAS DE LA FACULTAD DE INGENIERÍA QUÍMICA BUAP,Serv Social,LABORATORIO DE OPERACIONES UNITARIAS DE LA FACULTAD DE INGENIERÍA QUÍMICA FIQ8-105,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE INGENIERIA QUIMICA,"4 SUR 104 COL: CENTRO CP: 72000
Puebla , Puebla
(44) 28166453 EXT 00
(44) 28166453 EXT 00
fenderdelvalle@yahoo.com.mx"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE INGENIERIA QUIMICA,"4 SUR 104 COL: CENTRO CP: 72000
Puebla , Puebla
(44) 28166453 EXT 00
(44) 28166453 EXT 00
fenderdelvalle@yahoo.com.mx"
,,,,,,,,,
32,146825,EMPLEO DE PROGRAMAS INFORMÁTICOS PARA REALIZAR MINERÍA DE DATOS Y ANÁLISIS PREDICTIVO A PARTIR DE MICROARREGLO,Serv Social,LABORATORIO 420 EMA1 FACULTAD DE MEDICINA BUAP,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE MEDICINA,"13 SUR 2702 COL: VOLCANES CP: 72410
Puebla , Puebla
(222) 2295500 EXT 6074
() EXT
maura.cardenas@icbuap.buap.mx"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE MEDICINA,"13 SUR 2702 COL: VOLCANES CP: 72410
Puebla , Puebla
(222) 2295500 EXT 6074
() EXT
maura.cardenas@icbuap.buap.mx"
,,,,,,,,,
33,146857,PROGRAMA INSTITUCIONAL DE FORMACIÓN DOCENTE,Serv Social,ESCUELA DE FORMACIÓN DOCENTE Y DESARROLLO ACADÉMICO,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,VICERRECTORIA DE DOCENCIA,"COMPLEJO CULTURAL UNIVERSITARIO, VÍA ATLIXCAYOTL EDIFICIO 1 NORTE, PLANTA ALTA, CADI COL: COL. SAN ANDRÉS CHOLULA CP: 72810
Puebla , Puebla
(222) 2295500 EXT 2603
(222) 2295500 EXT 2603
JAZMIN.DELFIN@CORREO.BUAP.MX"
34,146859,ESTUDIOS DE VIBRACIÓN AMBIENTAL PARA LA DETERMINACIÓN DE LA RESPUESTA ESTRUCTURAL ANTE EVENTOS SÍSMICOS,Serv Social,FACULTAD DE INGENIERÍA,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE INGENIERIA,"BOULEVARD VALSEQUILLO S/N COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7626
(222) 2295500 EXT 7626
pablo.toxqui@correo.buap.mx"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE INGENIERIA,"BOULEVARD VALSEQUILLO S/N COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7626
(222) 2295500 EXT 7626
pablo.toxqui@correo.buap.mx"
,,,,,,,,,
